ScientificName,CommonName,Lmax,TL,Habitat,MeanCatch
Caranx hippos,Crevalle jack,89,3.5,Pelagic,8847.931034
Helicolenus dactylopterus,Blackbelly rosefish,37,3.81,DemMed,2689.659483
Istiophorus platypterus,Indo-Pacific sailfish,279,4.5,Pelagic,9881.568966
Istiophorus albicans,Atlantic sailfish,258,4.4,Pelagic,2206.534483
Lamna nasus,Porbeagle,277,4.21,Pelagic,2020.112069
Acanthocybium solandri,Wahoo,195,4.4,Pelagic,1429.366379
Cetorhinus maximus,Basking shark,729,3.2,Pelagic,4421.676724
Euthynnus affinis,Kawakawa,93,4.47,Pelagic,108071.1078
Euthynnus alletteratus,Little tunny,100,4.4,Pelagic,11103.56897
Euthynnus lineatus,Black skipjack,78,3.57,Pelagic,474
Alosa pontica,Pontic shad,39,3.94,Pelagic,1123.935345
Gymnosarda unicolor,Dogtooth tuna,275,4.5,DemLg,253.9482759
Katsuwonus pelamis,Skipjack tuna,108,4.35,Pelagic,933785.5
Orcynopsis unicolor,Plain bonito,121,4.5,Pelagic,725.6637931
Rastrelliger brachysoma,Short mackerel,32,2.72,Pelagic,127644
Rastrelliger kanagurta,Indian mackerel,33,3.19,Pelagic,156988.431
Sarda chiliensis,Eastern Pacific bonito,90,4.5,Pelagic,42638.68534
Sarda orientalis,Striped bonito,95,4.18,Pelagic,122.862069
Sarda sarda,Atlantic bonito,90,4.2,Pelagic,31290.96552
Scomber australasicus,Blue mackerel,37,4.03,Pelagic,3820.918103
Scomber japonicus,Chub mackerel,52,3.09,Pelagic,1479144.168
Scomber scombrus,Atlantic mackerel,46,3.18,Pelagic,569220.1336
Scomberomorus brasiliensis,Serra Spanish mackerel,116,3.31,Pelagic,4834.150862
Scomberomorus cavalla,King mackerel,151,4.5,DemLg,8919.491379
Scomberomorus commerson,Narrow-barred Spanish mackerel,205,4.5,Pelagic,94764.39655
Scomberomorus guttatus,Indo-Pacific king mackerel,71,4.28,Pelagic,18504.73707
Scomberomorus lineolatus,Streaked seerfish,74,4.5,Pelagic,77.59051724
Scomberomorus maculatus,Spanish mackerel,77,4.5,Pelagic,8497.478448
Scomberomorus niphonius,Japanese Spanish mackerel,93,4.5,Pelagic,25646.63793
Scomberomorus regalis,Cero,150,4.48,DemLg,423.9525862
Scomberomorus sierra,Pacific sierra,90,4.5,Pelagic,4523.577586
Somniosus microcephalus,Greenland shark,606,4.22,Pelagic,52.84051724
Squalus acanthias,Piked dogfish,130,4.3,Pelagic,35339.96983
Rhinobatos percellens,Chola guitarfish,82,3.61,DemLg,795.8965517
Scomberomorus tritor,West African Spanish mackerel,90,4.26,Pelagic,1714.314655
Thunnus alalunga,Albacore,140,4.31,Pelagic,191076.5862
Thunnus albacares,Yellowfin tuna,239,4.34,Pelagic,644438.9052
Thunnus atlanticus,Blackfin tuna,93,4.13,Pelagic,1970.741379
Thunnus maccoyii,Southern bluefin tuna,228,3.87,Pelagic,28750.2931
Thunnus obesus,Bigeye tuna,219,4.5,Pelagic,228501.7802
Thunnus thynnus,Northern bluefin tuna,376,4.43,Pelagic,29178.875
Thunnus tonggol,Longtail tuna,126,4.06,Pelagic,76507.93966
Rhinobatos planiceps,Pacific guitarfish,139,3.56,DemMed,820.3793103
Lutjanus guttatus,Spotted rose snapper,80,3.94,Reef-associated,53.55172414
Lutjanus malabaricus,Malabar blood snapper,100,4.46,DemLg,96.24137931
Callorhinchus capensis,Cape elephantfish,61,3.45,DemLg,247.7068966
Lutjanus peru,Pacific red snapper,95,4.02,Reef-associated,209.3965517
Lutjanus purpureus,Southern red snapper,82,3.58,DemLg,7659.827586
